ElapsedSec,Fall,BNOStaleSec
0.0,0.0,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.0,9.78,0.0
0.05,9.78,0.0
0.12,9.78,0.0
0.19,9.78,0.0
0.25,9.78,0.0
0.32,9.78,0.0
0.38,9.78,0.0
0.45,9.78,0.0
0.51,9.78,0.0
0.58,9.78,0.0
0.64,9.78,0.0
0.71,9.78,0.0
0.78,9.78,0.0
0.84,9.78,0.0
0.91,9.78,0.0
0.97,9.78,0.0
1.04,9.78,0.0
1.1,9.78,0.0
1.17,9.78,0.0
1.23,9.78,0.0
1.3,9.78,0.0
1.37,9.78,0.0
1.43,9.78,0.0
1.5,9.78,0.0
1.56,9.78,0.0
1.63,9.78,0.0
1.69,9.78,0.0
1.76,9.78,0.0
1.83,9.78,0.0
1.89,9.78,0.0
1.96,9.78,0.0
2.02,9.78,0.0
2.09,9.78,0.0
2.16,9.78,0.0
2.22,9.78,0.0
2.29,9.78,0.0
2.35,9.78,0.0
2.42,9.78,0.0
2.48,9.78,0.0
2.55,9.78,0.0
2.62,9.78,0.0
2.68,9.78,0.0
2.75,9.78,0.0
2.81,9.78,0.0
2.88,9.78,0.0
2.94,9.78,0.0
3.01,9.78,0.0
3.08,9.78,0.0
3.14,9.78,0.0
3.21,9.78,0.0
3.27,9.78,0.0
3.34,9.78,0.0
3.41,9.78,0.0
3.47,9.78,0.0
3.54,9.78,0.0
3.61,9.78,0.0
3.67,9.78,0.0
3.74,9.78,0.0
3.81,9.78,0.0
3.87,9.78,0.0
3.94,9.78,0.0
4.01,9.78,0.0
4.07,9.78,0.0
4.16,9.78,0.0
4.22,9.78,0.0
4.29,9.78,0.0
4.36,9.78,0.0
4.43,9.78,0.0
4.5,9.78,0.0
4.56,9.78,0.0
4.63,9.78,0.0
4.69,9.78,0.0
4.76,9.78,0.0
4.83,9.78,0.0
4.9,9.78,0.0
4.97,9.78,0.0
5.03,9.78,0.0
5.1,9.78,0.0
5.16,9.78,0.0
5.23,9.78,0.0
5.3,9.78,0.0
5.36,9.78,0.0
5.43,9.78,0.0
5.5,9.78,0.0
5.56,9.78,0.0
5.63,9.78,0.0
5.69,9.78,0.0
5.76,9.78,0.0
5.82,9.78,0.0
5.89,9.78,0.0
5.96,9.78,0.0
6.02,9.78,0.0
6.09,9.78,0.0
6.15,9.78,0.0
6.22,9.78,0.0
6.29,9.78,0.0
6.36,9.78,0.0
6.42,9.78,0.0
6.49,9.78,0.0
6.56,9.78,0.0
6.62,9.78,0.0
6.69,9.78,0.0
6.75,9.78,0.0
6.82,9.78,0.0
6.89,9.78,0.0
6.95,9.78,0.0
7.02,9.78,0.0
7.08,9.78,0.0
7.15,9.78,0.0
7.22,9.78,0.0
7.28,9.78,0.0
7.35,9.78,0.0
7.42,9.78,0.0
7.48,9.78,0.0
7.55,9.78,0.0
7.62,9.78,0.0
7.68,9.78,0.0
7.75,9.78,0.0
7.81,9.78,0.0
7.88,9.78,0.0
7.95,9.78,0.0
8.01,9.78,0.0
8.08,9.78,0.0
8.15,9.78,0.0
8.21,9.78,0.0
8.28,9.78,0.0
8.34,9.78,0.0
8.41,9.78,0.0
8.48,9.78,0.0
8.55,9.78,0.0
8.61,9.78,0.0
8.68,9.78,0.0
8.75,9.78,0.0
8.81,9.78,0.0
8.88,9.78,0.0
8.95,9.78,0.0
9.01,9.78,0.0
9.08,9.78,0.0
9.15,9.78,0.0
9.21,9.78,0.0
9.28,9.78,0.0
9.35,9.78,0.0
9.42,9.78,0.0
9.48,9.78,0.0
9.55,9.78,0.0
9.62,9.78,0.0
9.68,9.78,0.0
9.75,9.78,0.0
9.82,9.78,0.0
9.88,9.78,0.0
9.95,9.78,0.0
10.02,9.78,0.0
10.08,9.78,0.0
10.15,9.78,0.0
10.22,9.78,0.0
10.28,9.78,0.0
10.35,9.78,0.0
10.42,9.78,0.0
10.48,9.78,0.0
10.55,9.78,0.0
10.62,9.78,0.0
10.68,9.78,0.0
10.75,9.78,0.0
10.82,9.78,0.0
10.89,9.78,0.0
10.96,9.78,0.0
11.02,9.78,0.0
11.09,9.78,0.0
11.16,9.78,0.0
11.22,9.78,0.0
11.29,9.78,0.0
11.35,9.78,0.0
11.42,9.78,0.0
11.49,9.78,0.0
11.55,9.78,0.0
11.62,9.78,0.0
11.68,9.78,0.0
11.75,9.78,0.0
11.82,9.78,0.0
11.88,9.78,0.0
11.95,9.78,0.0
12.02,9.78,0.0
12.08,9.78,0.0
12.15,9.78,0.0
12.21,9.78,0.0
12.28,9.78,0.0
12.35,9.78,0.0
12.41,9.78,0.0
12.48,9.78,0.0
12.54,9.78,0.0
12.61,9.78,0.0
12.67,9.78,0.0
12.74,9.78,0.0
12.81,9.78,0.0
12.87,9.78,0.0
12.94,9.78,0.0
13.01,9.78,0.0
13.1,9.78,0.0
13.16,9.78,0.0
13.23,9.78,0.0
13.3,9.78,0.0
13.36,9.78,0.0
13.43,9.78,0.0
13.5,9.78,0.0
13.56,9.78,0.0
13.63,9.78,0.0
13.69,9.78,0.0
13.76,9.78,0.0
13.83,9.78,0.0
13.89,9.78,0.0
13.96,9.78,0.0
14.04,9.78,0.0
14.1,9.78,0.0
14.17,9.78,0.0
14.24,9.78,0.0
14.3,9.78,0.0
14.37,9.78,0.0
14.44,9.78,0.0
14.5,9.78,0.0
14.57,9.78,0.0
14.63,9.78,0.0
14.7,9.78,0.0
14.77,9.78,0.0
14.83,9.78,0.0
14.9,9.78,0.0
14.97,9.78,0.0
15.03,9.78,0.0
15.1,9.78,0.0
15.17,9.78,0.0
15.23,9.78,0.0
15.3,9.78,0.0
15.37,9.78,0.0
15.43,9.78,0.0
15.5,9.78,0.0
15.57,9.78,0.0
15.63,9.78,0.0
15.7,9.78,0.0
15.77,9.78,0.0
15.83,9.78,0.0
15.9,9.78,0.0
15.97,9.78,0.0
16.03,9.78,0.0
16.1,9.78,0.0
16.16,9.78,0.0
16.23,9.78,0.0
16.3,9.78,0.0
16.37,9.78,0.0
16.43,9.78,0.0
16.5,9.78,0.0
16.56,9.78,0.0
16.63,9.78,0.0
16.7,9.78,0.0
16.76,9.78,0.0
16.83,9.78,0.0
16.9,9.78,0.0
16.96,9.78,0.0
17.03,9.78,0.0
17.1,9.78,0.0
17.17,9.78,0.0
17.24,9.78,0.0
17.31,9.78,0.0
17.37,9.78,0.0
17.44,9.78,0.0
17.5,9.78,0.0
17.57,9.78,0.0
17.64,9.78,0.0
17.7,9.78,0.0
17.77,9.78,0.0
17.83,9.78,0.0
17.9,9.78,0.0
17.97,9.78,0.0
18.03,9.78,0.0
18.1,9.78,0.0
18.16,9.78,0.0
18.23,9.78,0.0
18.3,9.78,0.0
18.36,9.78,0.0
18.43,9.78,0.0
18.5,9.78,0.0
18.56,9.78,0.0
18.63,9.78,0.0
18.69,9.78,0.0
18.76,9.78,0.0
18.83,9.78,0.0
18.89,9.78,0.0
18.96,9.78,0.0
19.02,9.78,0.0
19.09,9.78,0.0
19.16,9.78,0.0
19.22,9.78,0.0
19.29,9.78,0.0
19.35,9.78,0.0
19.42,9.78,0.0
19.49,9.78,0.0
19.55,9.78,0.0
19.62,9.78,0.0
19.69,9.78,0.0
19.75,9.78,0.0
19.82,9.78,0.0
19.88,9.78,0.0
19.95,9.78,0.0
20.02,9.78,0.0
20.08,9.78,0.0
20.15,9.78,0.0
20.22,9.78,0.0
20.28,9.78,0.0
20.35,9.78,0.0
20.42,9.78,0.0
20.48,9.78,0.0
20.55,9.78,0.0
20.61,9.78,0.0
20.68,9.78,0.0
20.75,9.78,0.0
20.81,9.78,0.0
20.88,9.78,0.0
20.95,9.78,0.0
21.01,9.78,0.0
21.08,9.78,0.0
21.15,9.78,0.0
21.21,9.78,0.0
21.28,9.78,0.0
21.34,9.78,0.0
21.41,9.78,0.0
21.48,9.78,0.0
21.54,9.78,0.0
21.61,9.78,0.0
21.68,9.78,0.0
21.74,9.78,0.0
21.81,9.78,0.0
21.88,9.78,0.0
21.94,9.78,0.0
22.01,9.78,0.0
22.08,9.78,0.0
22.14,9.78,0.0
22.21,9.78,0.0
22.28,9.78,0.0
22.34,9.78,0.0
22.41,9.78,0.0
22.48,9.78,0.0
22.54,9.78,0.0
22.61,9.78,0.0
22.68,9.78,0.0
22.74,9.78,0.0
22.81,9.78,0.0
22.88,9.78,0.0
22.94,9.78,0.0
23.01,9.78,0.0
23.08,9.78,0.0
23.14,9.78,0.0
23.21,9.78,0.0
23.28,9.78,0.0
23.34,9.78,0.0
23.41,9.78,0.0
23.48,9.78,0.0
23.54,9.78,0.0
23.61,9.78,0.0
23.68,9.78,0.0
23.74,9.78,0.0
23.81,9.78,0.0
23.88,9.78,0.0
23.95,9.78,0.0
24.02,9.78,0.0
24.08,9.78,0.0
24.15,9.78,0.0
24.21,9.78,0.0
24.28,9.78,0.0
24.35,9.78,0.0
24.41,9.78,0.0
24.48,9.78,0.0
24.54,9.78,0.0
24.61,9.78,0.0
24.67,9.78,0.0
24.74,9.78,0.0
24.81,9.78,0.0
24.87,9.78,0.0
24.94,9.78,0.0
25.01,9.78,0.0
25.07,9.78,0.0
25.15,9.78,0.0
25.21,9.78,0.0
25.28,9.78,0.0
25.35,9.78,0.0
25.41,9.78,0.0
25.48,9.78,0.0
25.54,9.78,0.0
25.61,9.78,0.0
25.67,9.78,0.0
25.74,9.78,0.0
25.81,9.78,0.0
25.87,9.78,0.0
25.94,9.78,0.0
26.01,9.78,0.0
26.07,9.78,0.0
26.14,9.78,0.0
26.2,9.78,0.0
26.27,9.78,0.0
26.34,9.78,0.0
26.4,9.78,0.0
26.47,9.78,0.0
26.53,9.78,0.0
26.6,9.78,0.0
26.67,9.78,0.0
26.73,9.78,0.0
26.8,9.78,0.0
26.86,9.78,0.0
26.93,9.78,0.0
26.99,9.78,0.0
27.06,9.78,0.0
27.13,9.78,0.0
27.19,9.78,0.0
27.26,9.78,0.0
27.33,9.78,0.0
27.39,9.78,0.0
27.46,9.78,0.0
27.52,9.78,0.0
27.59,9.78,0.0
27.66,9.78,0.0
27.72,9.78,0.0
27.79,9.78,0.0
27.86,9.78,0.0
27.92,9.78,0.0
27.99,9.78,0.0
28.05,9.78,0.0
28.12,9.78,0.0
28.19,9.78,0.0
28.25,9.78,0.0
28.32,9.78,0.0
28.39,9.78,0.0
28.45,9.78,0.0
28.52,9.78,0.0
28.59,9.78,0.0
28.65,9.78,0.0
28.72,9.78,0.0
28.79,9.78,0.0
28.85,9.78,0.0
28.92,9.78,0.0
28.99,9.78,0.0
29.05,9.78,0.0
29.12,9.78,0.0
29.19,9.78,0.0
29.25,9.78,0.0
29.32,9.78,0.0
29.39,9.78,0.0
29.45,9.78,0.0
29.52,9.78,0.0
29.58,9.78,0.0
29.65,9.78,0.0
29.72,9.78,0.0
29.78,9.78,0.0
29.85,9.78,0.0
29.92,9.78,0.0
29.98,9.78,0.0
30.05,9.78,0.0
30.12,9.78,0.0
30.18,9.78,0.0
30.25,9.78,0.0
30.32,9.78,0.0
30.38,9.78,0.0
30.45,9.78,0.0
30.52,9.78,0.0
30.58,9.78,0.0
30.65,9.78,0.0
30.71,9.78,0.0
30.78,9.78,0.0
30.85,9.78,0.0
30.91,9.78,0.0
30.98,9.78,0.0
31.05,9.78,0.0
31.11,9.78,0.0
31.18,9.78,0.0
31.25,9.78,0.0
31.31,9.78,0.0
31.38,9.78,0.0
31.45,9.78,0.0
31.52,9.78,0.0
31.58,9.78,0.0
31.65,9.78,0.0
31.72,9.78,0.0
31.79,9.78,0.0
31.85,9.78,0.0
31.92,9.78,0.0
31.99,9.78,0.0
32.05,9.78,0.0
32.12,9.78,0.0
32.18,9.78,0.0
32.25,9.78,0.0
32.32,9.78,0.0
32.38,9.78,0.0
32.45,9.78,0.0
32.51,9.78,0.0
32.58,9.78,0.0
32.65,9.78,0.0
32.71,9.78,0.0
32.78,9.78,0.0
32.84,9.78,0.0
32.91,9.78,0.0
32.98,9.78,0.0
33.04,9.78,0.0
33.11,9.78,0.0
33.17,9.78,0.0
33.24,9.78,0.0
33.31,9.78,0.0
33.37,9.78,0.0
33.44,9.78,0.0
33.51,9.78,0.0
33.57,9.78,0.0
33.64,9.78,0.0
33.71,9.78,0.0
33.77,9.78,0.0
33.84,9.78,0.0
33.9,9.78,0.0
33.97,9.78,0.0
34.04,9.78,0.0
34.11,9.78,0.0
34.18,9.78,0.0
34.24,9.78,0.0
34.31,9.78,0.0
34.37,9.78,0.0
34.44,9.78,0.0
34.51,9.78,0.0
34.57,9.78,0.0
34.64,9.78,0.0
34.71,9.78,0.0
34.77,9.78,0.0
34.84,9.78,0.0
34.9,9.78,0.0
34.97,9.78,0.0
35.04,9.78,0.0
35.1,9.78,0.0
35.17,9.78,0.0
35.24,9.78,0.0
35.3,9.78,0.0
35.37,9.78,0.0
35.44,9.78,0.0
35.5,9.78,0.0
35.57,9.78,0.0
35.63,9.78,0.0
35.7,9.78,0.0
35.77,9.78,0.0
35.83,9.78,0.0
35.9,9.78,0.0
35.97,9.78,0.0
36.03,9.78,0.0
36.1,9.78,0.0
36.17,9.78,0.0
36.23,9.78,0.0
36.3,9.78,0.0
36.37,9.78,0.0
36.43,9.78,0.0
36.5,9.78,0.0
36.56,9.78,0.0
36.63,9.78,0.0
36.7,9.78,0.0
36.76,9.78,0.0
36.83,9.78,0.0
36.9,9.78,0.0
36.96,9.78,0.0
37.03,9.78,0.0
37.1,9.78,0.0
37.16,9.78,0.0
37.23,9.78,0.0
37.3,9.78,0.0
37.36,9.78,0.0
37.43,9.78,0.0
37.5,9.78,0.0
37.56,9.78,0.0
37.63,9.78,0.0
37.7,9.78,0.0
37.76,9.78,0.0
37.83,9.78,0.0
37.9,9.78,0.0
37.96,9.78,0.0
38.03,9.78,0.0
38.1,9.78,0.0
38.16,9.78,0.0
38.23,9.78,0.0
38.3,9.78,0.0
38.36,9.78,0.0
38.43,9.78,0.0
38.5,9.78,0.0
38.57,9.78,0.0
38.63,9.78,0.0
38.7,9.78,0.0
38.77,9.78,0.0
38.83,9.78,0.0
38.9,9.78,0.0
38.96,9.78,0.0
39.03,9.78,0.0
39.1,9.78,0.0
39.16,9.78,0.0
39.23,9.78,0.0
39.29,9.78,0.0
39.36,9.78,0.0
39.43,9.78,0.0
39.49,9.78,0.0
39.56,9.78,0.0
39.62,9.78,0.0
39.69,9.78,0.0
39.76,9.78,0.0
39.82,9.78,0.0
39.89,9.78,0.0
39.96,9.78,0.0
40.02,9.78,0.0
40.09,9.78,0.0
40.15,9.78,0.0
40.22,9.78,0.0
40.29,9.78,0.0
40.35,9.78,0.0
40.42,9.78,0.0
40.48,9.78,0.0
40.55,9.78,0.0
40.62,9.78,0.0
40.68,9.78,0.0
40.75,9.78,0.0
40.81,9.78,0.0
40.88,9.78,0.0
40.95,9.78,0.0
41.01,9.78,0.0
41.08,9.78,0.0
41.15,9.78,0.0
41.21,9.78,0.0
41.28,9.78,0.0
41.35,9.78,0.0
41.41,9.78,0.0
41.48,9.78,0.0
41.54,9.78,0.0
41.61,9.78,0.0
41.68,9.78,0.0
41.74,9.78,0.0
41.81,9.78,0.0
41.88,9.78,0.0
41.94,9.78,0.0
42.01,9.78,0.0
42.07,9.78,0.0
42.14,9.78,0.0
42.21,9.78,0.0
42.28,9.78,0.0
42.34,9.78,0.0
42.41,9.78,0.0
42.47,9.78,0.0
42.54,9.78,0.0
42.61,9.78,0.0
42.67,9.78,0.0
42.74,9.78,0.0
42.81,9.78,0.0
42.87,9.78,0.0
42.94,9.78,0.0
43.01,9.78,0.0
43.07,9.78,0.0
43.14,9.78,0.0
43.2,9.78,0.0
43.27,9.78,0.0
43.34,9.78,0.0
43.4,9.78,0.0
43.47,9.78,0.0
43.54,9.78,0.0
43.6,9.78,0.0
43.67,9.78,0.0
43.74,9.78,0.0
43.8,9.78,0.0
43.87,9.78,0.0
43.94,9.78,0.0
44.0,9.78,0.0
44.07,9.78,0.0
44.14,9.78,0.0
44.2,9.78,0.0
44.27,9.78,0.0
44.33,9.78,0.0
44.4,9.78,0.0
44.47,9.78,0.0
44.54,9.78,0.0
44.6,9.78,0.0
44.67,9.78,0.0
44.73,9.78,0.0
44.8,9.78,0.0
44.87,9.78,0.0
44.93,9.78,0.0
45.0,9.78,0.0
45.08,9.78,0.0
45.14,9.78,0.0
45.21,9.78,0.0
45.27,9.78,0.0
45.34,9.78,0.0
45.4,9.78,0.0
45.47,9.78,0.0
45.54,9.78,0.0
45.6,9.78,0.0
45.67,9.78,0.0
45.74,9.78,0.0
45.8,9.78,0.0
45.87,9.78,0.0
45.93,9.78,0.0
46.0,9.78,0.0
46.06,9.78,0.0
46.13,9.78,0.0
46.2,9.78,0.0
46.26,9.78,0.0
46.33,9.78,0.0
46.4,9.78,0.0
46.46,9.78,0.0
46.53,9.78,0.0
46.6,9.78,0.0
46.66,9.78,0.0
46.73,9.78,0.0
46.79,9.78,0.0
46.86,9.78,0.0
46.93,9.78,0.0
46.99,9.78,0.0
47.06,9.78,0.0
47.12,9.78,0.0
47.19,9.78,0.0
47.26,9.78,0.0
47.32,9.78,0.0
47.39,9.78,0.0
47.46,9.78,0.0
47.52,9.78,0.0
47.59,9.78,0.0
47.66,9.78,0.0
47.73,9.78,0.0
47.8,9.78,0.0
47.86,9.78,0.0
47.93,9.78,0.0
48.0,9.78,0.0
48.06,9.78,0.0
48.13,9.78,0.0
48.19,9.78,0.0
48.26,9.78,0.0
48.33,9.78,0.0
48.39,9.78,0.0
48.46,9.78,0.0
