ElapsedSec,LAT,LNG,GpsSpeedMps,GPSFixQual,GPSSats,GPSHdop
0.0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0.0,0.0,0,0,0.0
0.0,30.374768,130.960088,0.0,2,19,0.65
0.0,30.374768,130.960088,0.0,2,19,0.65
0.0,30.374768,130.960088,0.0,2,19,0.65
0.0,30.374768,130.960088,0.0,2,19,0.65
0.0,30.374768,130.960088,0.0,2,19,0.65
0.0,30.374768,130.960088,0.0,2,19,0.65
0.0,30.374768,130.960088,0.0,2,19,0.65
0.0,30.374768,130.960088,0.0,2,19,0.65
0.0,30.374768,130.960088,0.0,2,19,0.65
0.0,30.374768,130.960088,0.0,2,19,0.65
0.05,30.374768,130.960088,0.0,2,19,0.65
0.12,30.374768,130.960088,0.0,2,19,0.65
0.19,30.374768,130.960088,0.0,2,19,0.65
0.25,30.374768,130.960088,0.0,2,19,0.65
0.32,30.374768,130.960088,0.0,2,19,0.65
0.38,30.374768,130.960088,0.0,2,19,0.65
0.45,30.374768,130.960088,0.0,2,18,0.7
0.51,30.374768,130.960088,0.0,2,18,0.7
0.58,30.374768,130.960088,0.0,2,18,0.7
0.64,30.374768,130.960088,0.0,2,18,0.7
0.71,30.374768,130.960088,0.0,2,18,0.7
0.78,30.374768,130.960088,0.0,2,18,0.7
0.84,30.374768,130.960088,0.0,2,18,0.7
0.91,30.374768,130.960088,0.0,2,18,0.7
0.97,30.374768,130.960088,0.0,2,18,0.7
1.04,30.374768,130.960088,0.0,2,18,0.7
1.1,30.374768,130.960088,0.0,2,18,0.7
1.17,30.374768,130.960088,0.0,2,18,0.7
1.23,30.374768,130.960088,0.0,2,18,0.7
1.3,30.374768,130.960088,0.0,2,18,0.7
1.37,30.374768,130.960088,0.0,2,18,0.7
1.43,30.374768,130.960088,0.0,2,19,0.69
1.5,30.374768,130.960088,0.0,2,19,0.69
1.56,30.374768,130.960088,0.0,2,19,0.69
1.63,30.374768,130.960088,0.0,2,19,0.69
1.69,30.374768,130.960088,0.0,2,19,0.69
1.76,30.374768,130.960088,0.0,2,19,0.69
1.83,30.374768,130.960088,0.0,2,19,0.69
1.89,30.374768,130.960088,0.0,2,19,0.69
1.96,30.374768,130.960088,0.0,2,19,0.69
2.02,30.374768,130.960088,0.0,2,19,0.69
2.09,30.374768,130.960088,0.0,2,19,0.69
2.16,30.374768,130.960088,0.0,2,19,0.69
2.22,30.374768,130.960088,0.0,2,19,0.69
2.29,30.374768,130.960088,0.0,2,19,0.69
2.35,30.374768,130.960088,0.0,2,19,0.69
2.42,30.374767,130.960088,0.19,2,18,0.7
2.48,30.374767,130.960088,0.19,2,18,0.7
2.55,30.374767,130.960088,0.19,2,18,0.7
2.62,30.374767,130.960088,0.19,2,18,0.7
2.68,30.374767,130.960088,0.19,2,18,0.7
2.75,30.374767,130.960088,0.19,2,18,0.7
2.81,30.374767,130.960088,0.19,2,18,0.7
2.88,30.374767,130.960088,0.19,2,18,0.7
2.94,30.374767,130.960088,0.19,2,18,0.7
3.01,30.374767,130.960088,0.19,2,18,0.7
3.08,30.374767,130.960088,0.19,2,18,0.7
3.14,30.374767,130.960088,0.19,2,18,0.7
3.21,30.374767,130.960088,0.19,2,18,0.7
3.27,30.374767,130.960088,0.19,2,18,0.7
3.34,30.374767,130.960088,0.19,2,18,0.7
3.41,30.374767,130.960088,0.19,2,18,0.7
3.47,30.374767,130.960088,0.0,2,18,0.7
3.54,30.374767,130.960088,0.0,2,18,0.7
3.61,30.374767,130.960088,0.0,2,18,0.7
3.67,30.374767,130.960088,0.0,2,18,0.7
3.74,30.374767,130.960088,0.0,2,18,0.7
3.81,30.374767,130.960088,0.0,2,18,0.7
3.87,30.374767,130.960088,0.0,2,18,0.7
3.94,30.374767,130.960088,0.0,2,18,0.7
4.01,30.374767,130.960088,0.0,2,18,0.7
4.07,30.374767,130.960088,0.0,2,18,0.7
4.16,30.374767,130.960088,0.0,2,18,0.7
4.22,30.374767,130.960088,0.0,2,18,0.7
4.29,30.374767,130.960088,0.0,2,18,0.7
4.36,30.374767,130.960088,0.0,2,18,0.7
4.43,30.374767,130.960088,0.0,2,18,0.7
4.5,30.374767,130.960088,0.0,2,18,0.7
4.56,30.374767,130.960088,0.0,2,18,0.7
4.63,30.374767,130.960088,0.0,2,18,0.7
4.69,30.374767,130.960088,0.0,2,18,0.7
4.76,30.374767,130.960088,0.0,2,18,0.7
4.83,30.374767,130.960088,0.0,2,18,0.7
4.9,30.374767,130.960088,0.0,2,18,0.7
4.97,30.374767,130.960088,0.0,2,18,0.7
5.03,30.374767,130.960088,0.0,2,18,0.7
5.1,30.374767,130.960088,0.0,2,18,0.7
5.16,30.374767,130.960088,0.0,2,18,0.7
5.23,30.374767,130.960088,0.0,2,18,0.7
5.3,30.374767,130.960088,0.0,2,18,0.7
5.36,30.374767,130.960088,0.0,2,18,0.7
5.43,30.374767,130.960088,0.0,2,18,0.67
5.5,30.374767,130.960088,0.0,2,18,0.67
5.56,30.374767,130.960088,0.0,2,18,0.67
5.63,30.374767,130.960088,0.0,2,18,0.67
5.69,30.374767,130.960088,0.0,2,18,0.67
5.76,30.374767,130.960088,0.0,2,18,0.67
5.82,30.374767,130.960088,0.0,2,18,0.67
5.89,30.374767,130.960088,0.0,2,18,0.67
5.96,30.374767,130.960088,0.0,2,18,0.67
6.02,30.374767,130.960088,0.0,2,18,0.67
6.09,30.374767,130.960088,0.0,2,18,0.67
6.15,30.374767,130.960088,0.0,2,18,0.67
6.22,30.374767,130.960088,0.0,2,18,0.67
6.29,30.374767,130.960088,0.0,2,18,0.67
6.36,30.374767,130.960088,0.0,2,18,0.67
6.42,30.374767,130.960088,0.0,2,18,0.7
6.49,30.374767,130.960088,0.0,2,18,0.7
6.56,30.374767,130.960088,0.0,2,18,0.7
6.62,30.374767,130.960088,0.0,2,18,0.7
6.69,30.374767,130.960088,0.0,2,18,0.7
6.75,30.374767,130.960088,0.0,2,18,0.7
6.82,30.374767,130.960088,0.0,2,18,0.7
6.89,30.374767,130.960088,0.0,2,18,0.7
6.95,30.374767,130.960088,0.0,2,18,0.7
7.02,30.374767,130.960088,0.0,2,18,0.7
7.08,30.374767,130.960088,0.0,2,18,0.7
7.15,30.374767,130.960088,0.0,2,18,0.7
7.22,30.374767,130.960088,0.0,2,18,0.7
7.28,30.374767,130.960088,0.0,2,18,0.7
7.35,30.374767,130.960088,0.0,2,18,0.7
7.42,30.374767,130.960088,0.0,2,18,0.7
7.48,30.374767,130.960088,0.0,2,18,0.7
7.55,30.374767,130.960088,0.0,2,18,0.7
7.62,30.374767,130.960088,0.0,2,18,0.7
7.68,30.374767,130.960088,0.0,2,18,0.7
7.75,30.374767,130.960088,0.0,2,18,0.7
7.81,30.374767,130.960088,0.0,2,18,0.7
7.88,30.374767,130.960088,0.0,2,18,0.7
7.95,30.374767,130.960088,0.0,2,18,0.7
8.01,30.374767,130.960088,0.0,2,18,0.7
8.08,30.374767,130.960088,0.0,2,18,0.7
8.15,30.374767,130.960088,0.0,2,18,0.7
8.21,30.374767,130.960088,0.0,2,18,0.7
8.28,30.374767,130.960088,0.0,2,18,0.7
8.34,30.374767,130.960088,0.0,2,18,0.7
8.41,30.374767,130.960088,0.0,2,18,0.7
8.48,30.374765,130.960088,0.19,2,18,0.7
8.55,30.374765,130.960088,0.19,2,18,0.7
8.61,30.374765,130.960088,0.19,2,18,0.7
8.68,30.374765,130.960088,0.19,2,18,0.7
8.75,30.374765,130.960088,0.19,2,18,0.7
8.81,30.374765,130.960088,0.19,2,18,0.7
8.88,30.374765,130.960088,0.19,2,18,0.7
8.95,30.374765,130.960088,0.19,2,18,0.7
9.01,30.374765,130.960088,0.19,2,18,0.7
9.08,30.374765,130.960088,0.19,2,18,0.7
9.15,30.374765,130.960088,0.19,2,18,0.7
9.21,30.374765,130.960088,0.19,2,18,0.7
9.28,30.374765,130.960088,0.19,2,18,0.7
9.35,30.374765,130.960088,0.19,2,18,0.7
9.42,30.374765,130.960088,0.0,2,18,0.7
9.48,30.374765,130.960088,0.0,2,18,0.7
9.55,30.374765,130.960088,0.0,2,18,0.7
9.62,30.374765,130.960088,0.0,2,18,0.7
9.68,30.374765,130.960088,0.0,2,18,0.7
9.75,30.374765,130.960088,0.0,2,18,0.7
9.82,30.374765,130.960088,0.0,2,18,0.7
9.88,30.374765,130.960088,0.0,2,18,0.7
9.95,30.374765,130.960088,0.0,2,18,0.7
10.02,30.374765,130.960088,0.0,2,18,0.7
10.08,30.374765,130.960088,0.0,2,18,0.7
10.15,30.374765,130.960088,0.0,2,18,0.7
10.22,30.374765,130.960088,0.0,2,18,0.7
10.28,30.374765,130.960088,0.0,2,18,0.7
10.35,30.374765,130.960088,0.0,2,18,0.7
10.42,30.374765,130.960088,0.0,2,18,0.7
10.48,30.374765,130.960088,0.0,2,18,0.7
10.55,30.374765,130.960088,0.0,2,18,0.7
10.62,30.374765,130.960088,0.0,2,18,0.7
10.68,30.374765,130.960088,0.0,2,18,0.7
10.75,30.374765,130.960088,0.0,2,18,0.7
10.82,30.374765,130.960088,0.0,2,18,0.7
10.89,30.374765,130.960088,0.0,2,18,0.7
10.96,30.374765,130.960088,0.0,2,18,0.7
11.02,30.374765,130.960088,0.0,2,18,0.7
11.09,30.374765,130.960088,0.0,2,18,0.7
11.16,30.374765,130.960088,0.0,2,18,0.7
11.22,30.374765,130.960088,0.0,2,18,0.7
11.29,30.374765,130.960088,0.0,2,18,0.7
11.35,30.374765,130.960088,0.0,2,18,0.7
11.42,30.374767,130.960088,0.19,2,18,0.7
11.49,30.374767,130.960088,0.19,2,18,0.7
11.55,30.374767,130.960088,0.19,2,18,0.7
11.62,30.374767,130.960088,0.19,2,18,0.7
11.68,30.374767,130.960088,0.19,2,18,0.7
11.75,30.374767,130.960088,0.19,2,18,0.7
11.82,30.374767,130.960088,0.19,2,18,0.7
11.88,30.374767,130.960088,0.19,2,18,0.7
11.95,30.374767,130.960088,0.19,2,18,0.7
12.02,30.374767,130.960088,0.19,2,18,0.7
12.08,30.374767,130.960088,0.19,2,18,0.7
12.15,30.374767,130.960088,0.19,2,18,0.7
12.21,30.374767,130.960088,0.19,2,18,0.7
12.28,30.374767,130.960088,0.19,2,18,0.7
12.35,30.374767,130.960088,0.19,2,18,0.7
12.41,30.374767,130.960088,0.0,2,18,0.7
12.48,30.374767,130.960088,0.0,2,18,0.7
12.54,30.374767,130.960088,0.0,2,18,0.7
12.61,30.374767,130.960088,0.0,2,18,0.7
12.67,30.374767,130.960088,0.0,2,18,0.7
12.74,30.374767,130.960088,0.0,2,18,0.7
12.81,30.374767,130.960088,0.0,2,18,0.7
12.87,30.374767,130.960088,0.0,2,18,0.7
12.94,30.374767,130.960088,0.0,2,18,0.7
13.01,30.374767,130.960088,0.0,2,18,0.7
13.1,30.374767,130.960088,0.0,2,18,0.7
13.16,30.374767,130.960088,0.0,2,18,0.7
13.23,30.374767,130.960088,0.0,2,18,0.7
13.3,30.374767,130.960088,0.0,2,18,0.7
13.36,30.374767,130.960088,0.0,2,18,0.7
13.43,30.374765,130.960088,0.19,2,19,0.65
13.5,30.374765,130.960088,0.19,2,19,0.65
13.56,30.374765,130.960088,0.19,2,19,0.65
13.63,30.374765,130.960088,0.19,2,19,0.65
13.69,30.374765,130.960088,0.19,2,19,0.65
13.76,30.374765,130.960088,0.19,2,19,0.65
13.83,30.374765,130.960088,0.19,2,19,0.65
13.89,30.374765,130.960088,0.19,2,19,0.65
13.96,30.374765,130.960088,0.19,2,19,0.65
14.04,30.374765,130.960088,0.19,2,19,0.65
14.1,30.374765,130.960088,0.19,2,19,0.65
14.17,30.374765,130.960088,0.19,2,19,0.65
14.24,30.374765,130.960088,0.19,2,19,0.65
14.3,30.374765,130.960088,0.19,2,19,0.65
14.37,30.374765,130.960088,0.19,2,19,0.65
14.44,30.374767,130.960088,0.18,2,19,0.68
14.5,30.374767,130.960088,0.18,2,19,0.68
14.57,30.374767,130.960088,0.18,2,19,0.68
14.63,30.374767,130.960088,0.18,2,19,0.68
14.7,30.374767,130.960088,0.18,2,19,0.68
14.77,30.374767,130.960088,0.18,2,19,0.68
14.83,30.374767,130.960088,0.18,2,19,0.68
14.9,30.374767,130.960088,0.18,2,19,0.68
14.97,30.374767,130.960088,0.18,2,19,0.68
15.03,30.374767,130.960088,0.18,2,19,0.68
15.1,30.374767,130.960088,0.18,2,19,0.68
15.17,30.374767,130.960088,0.18,2,19,0.68
15.23,30.374767,130.960088,0.18,2,19,0.68
15.3,30.374767,130.960088,0.18,2,19,0.68
15.37,30.374767,130.960088,0.18,2,19,0.68
15.43,30.374767,130.960088,0.0,2,19,0.68
15.5,30.374767,130.960088,0.0,2,19,0.68
15.57,30.374767,130.960088,0.0,2,19,0.68
15.63,30.374767,130.960088,0.0,2,19,0.68
15.7,30.374767,130.960088,0.0,2,19,0.68
15.77,30.374767,130.960088,0.0,2,19,0.68
15.83,30.374767,130.960088,0.0,2,19,0.68
15.9,30.374767,130.960088,0.0,2,19,0.68
15.97,30.374767,130.960088,0.0,2,19,0.68
16.03,30.374767,130.960088,0.0,2,19,0.68
16.1,30.374767,130.960088,0.0,2,19,0.68
16.16,30.374767,130.960088,0.0,2,19,0.68
16.23,30.374767,130.960088,0.0,2,19,0.68
16.3,30.374767,130.960088,0.0,2,19,0.68
16.37,30.374767,130.960088,0.0,2,19,0.68
16.43,30.374767,130.960088,0.0,2,19,0.68
16.5,30.374767,130.960088,0.0,2,19,0.68
16.56,30.374767,130.960088,0.0,2,19,0.68
16.63,30.374767,130.960088,0.0,2,19,0.68
16.7,30.374767,130.960088,0.0,2,19,0.68
16.76,30.374767,130.960088,0.0,2,19,0.68
16.83,30.374767,130.960088,0.0,2,19,0.68
16.9,30.374767,130.960088,0.0,2,19,0.68
16.96,30.374767,130.960088,0.0,2,19,0.68
17.03,30.374767,130.960088,0.0,2,19,0.68
17.1,30.374767,130.960088,0.0,2,19,0.68
17.17,30.374767,130.960088,0.0,2,19,0.68
17.24,30.374767,130.960088,0.0,2,19,0.68
17.31,30.374767,130.960088,0.0,2,19,0.68
17.37,30.374767,130.960088,0.0,2,19,0.68
17.44,30.374767,130.960088,0.0,2,19,0.68
17.5,30.374767,130.960088,0.0,2,19,0.68
17.57,30.374767,130.960088,0.0,2,19,0.68
17.64,30.374767,130.960088,0.0,2,19,0.68
17.7,30.374767,130.960088,0.0,2,19,0.68
17.77,30.374767,130.960088,0.0,2,19,0.68
17.83,30.374767,130.960088,0.0,2,19,0.68
17.9,30.374767,130.960088,0.0,2,19,0.68
17.97,30.374767,130.960088,0.0,2,19,0.68
18.03,30.374767,130.960088,0.0,2,19,0.68
18.1,30.374767,130.960088,0.0,2,19,0.68
18.16,30.374767,130.960088,0.0,2,19,0.68
18.23,30.374767,130.960088,0.0,2,19,0.68
18.3,30.374767,130.960088,0.0,2,19,0.68
18.36,30.374767,130.960088,0.0,2,19,0.68
18.43,30.374767,130.960088,0.0,2,19,0.68
18.5,30.374767,130.960088,0.0,2,19,0.68
18.56,30.374767,130.960088,0.0,2,19,0.68
18.63,30.374767,130.960088,0.0,2,19,0.68
18.69,30.374767,130.960088,0.0,2,19,0.68
18.76,30.374767,130.960088,0.0,2,19,0.68
18.83,30.374767,130.960088,0.0,2,19,0.68
18.89,30.374767,130.960088,0.0,2,19,0.68
18.96,30.374767,130.960088,0.0,2,19,0.68
19.02,30.374767,130.960088,0.0,2,19,0.68
19.09,30.374767,130.960088,0.0,2,19,0.68
