ElapsedSec,MagX,MagY,MagZ
0.0,0.0,0.0,0.0
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.0,520.88,-81.25,201.75
0.05,520.88,-81.25,201.75
0.12,520.88,-81.25,201.75
0.19,520.88,-81.25,201.75
0.25,520.88,-81.25,201.75
0.32,520.88,-81.25,201.75
0.38,520.88,-81.25,201.75
0.45,520.88,-81.25,201.75
0.51,520.88,-81.25,201.75
0.58,520.88,-81.25,201.75
0.64,520.88,-81.25,201.75
0.71,520.88,-81.25,201.75
0.78,520.88,-81.25,201.75
0.84,520.88,-81.25,201.75
0.91,520.88,-81.25,201.75
0.97,520.88,-81.25,201.75
1.04,520.88,-81.25,201.75
1.1,520.88,-81.25,201.75
1.17,520.88,-81.25,201.75
1.23,520.88,-81.25,201.75
1.3,520.88,-81.25,201.75
1.37,520.88,-81.25,201.75
1.43,520.88,-81.25,201.75
1.5,520.88,-81.25,201.75
1.56,520.88,-81.25,201.75
1.63,520.88,-81.25,201.75
1.69,520.88,-81.25,201.75
1.76,520.88,-81.25,201.75
1.83,520.88,-81.25,201.75
1.89,520.88,-81.25,201.75
1.96,520.88,-81.25,201.75
2.02,520.88,-81.25,201.75
2.09,520.88,-81.25,201.75
2.16,520.88,-81.25,201.75
2.22,520.88,-81.25,201.75
2.29,520.88,-81.25,201.75
2.35,520.88,-81.25,201.75
2.42,520.88,-81.25,201.75
2.48,520.88,-81.25,201.75
2.55,520.88,-81.25,201.75
2.62,520.88,-81.25,201.75
2.68,520.88,-81.25,201.75
2.75,520.88,-81.25,201.75
2.81,520.88,-81.25,201.75
2.88,520.88,-81.25,201.75
2.94,520.88,-81.25,201.75
3.01,520.88,-81.25,201.75
3.08,520.88,-81.25,201.75
3.14,520.88,-81.25,201.75
3.21,520.88,-81.25,201.75
3.27,520.88,-81.25,201.75
3.34,520.88,-81.25,201.75
3.41,520.88,-81.25,201.75
3.47,520.88,-81.25,201.75
3.54,520.88,-81.25,201.75
3.61,520.88,-81.25,201.75
3.67,520.88,-81.25,201.75
3.74,520.88,-81.25,201.75
3.81,520.88,-81.25,201.75
3.87,520.88,-81.25,201.75
3.94,520.88,-81.25,201.75
4.01,520.88,-81.25,201.75
4.07,520.88,-81.25,201.75
4.16,520.88,-81.25,201.75
4.22,520.88,-81.25,201.75
4.29,520.88,-81.25,201.75
4.36,520.88,-81.25,201.75
4.43,520.88,-81.25,201.75
4.5,520.88,-81.25,201.75
4.56,520.88,-81.25,201.75
4.63,520.88,-81.25,201.75
4.69,520.88,-81.25,201.75
4.76,520.88,-81.25,201.75
4.83,520.88,-81.25,201.75
