ElapsedSec,Distance,Azimuth,TargetLat,TargetLng,Angle,Direction,AngleValid
0.0,0.0,0.0,30.374217,130.959968,0.0,0.0,0
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.0,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.05,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.12,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.19,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.25,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.32,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.38,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.45,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.51,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.58,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.64,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.71,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.78,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.84,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.91,0.0,0.0,30.374217,130.959968,269.94,0.0,1
0.97,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.04,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.1,0.0,0.0,30.374217,130.959968,269.94,0.0,1
1.17,0.0,0.0,30.374217,130.959968,269.94,0.0,1
