ElapsedSec,Phase,MissionElapsedSec,MissionEndReason,MissionTotalTimeout
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.0,0,0.0,RUNNING,0
0.05,0,0.05,RUNNING,0
0.12,0,0.12,RUNNING,0
0.19,0,0.19,RUNNING,0
0.25,0,0.25,RUNNING,0
0.32,0,0.32,RUNNING,0
0.38,0,0.38,RUNNING,0
0.45,0,0.45,RUNNING,0
0.51,0,0.51,RUNNING,0
0.58,0,0.58,RUNNING,0
0.64,0,0.64,RUNNING,0
0.71,0,0.71,RUNNING,0
0.78,0,0.78,RUNNING,0
0.84,0,0.84,RUNNING,0
0.91,0,0.91,RUNNING,0
0.97,0,0.97,RUNNING,0
1.04,0,1.04,RUNNING,0
1.1,0,1.1,RUNNING,0
1.17,0,1.17,RUNNING,0
1.23,0,1.23,RUNNING,0
1.3,0,1.3,RUNNING,0
1.37,0,1.37,RUNNING,0
1.43,0,1.43,RUNNING,0
1.5,0,1.5,RUNNING,0
1.56,0,1.56,RUNNING,0
1.63,0,1.63,RUNNING,0
1.69,0,1.69,RUNNING,0
1.76,0,1.76,RUNNING,0
1.83,0,1.83,RUNNING,0
1.89,0,1.89,RUNNING,0
1.96,0,1.96,RUNNING,0
2.02,0,2.02,RUNNING,0
2.09,0,2.09,RUNNING,0
2.16,0,2.16,RUNNING,0
2.22,0,2.22,RUNNING,0
2.29,0,2.29,RUNNING,0
2.35,0,2.35,RUNNING,0
2.42,0,2.42,RUNNING,0
2.48,0,2.48,RUNNING,0
2.55,0,2.55,RUNNING,0
2.62,0,2.62,RUNNING,0
2.68,0,2.68,RUNNING,0
2.75,0,2.75,RUNNING,0
2.81,0,2.81,RUNNING,0
2.88,0,2.88,RUNNING,0
2.94,0,2.94,RUNNING,0
3.01,0,3.01,RUNNING,0
3.08,0,3.08,RUNNING,0
3.14,0,3.14,RUNNING,0
3.21,0,3.21,RUNNING,0
3.27,0,3.27,RUNNING,0
3.34,0,3.34,RUNNING,0
3.41,0,3.41,RUNNING,0
3.47,0,3.47,RUNNING,0
3.54,0,3.54,RUNNING,0
3.61,0,3.61,RUNNING,0
3.67,0,3.67,RUNNING,0
3.74,0,3.74,RUNNING,0
3.81,0,3.81,RUNNING,0
3.87,0,3.87,RUNNING,0
3.94,0,3.94,RUNNING,0
4.01,0,4.01,RUNNING,0
4.07,0,4.07,RUNNING,0
4.16,0,4.16,RUNNING,0
4.22,0,4.22,RUNNING,0
4.29,0,4.29,RUNNING,0
4.36,0,4.36,RUNNING,0
4.43,0,4.43,RUNNING,0
4.5,0,4.5,RUNNING,0
4.56,0,4.56,RUNNING,0
4.63,0,4.63,RUNNING,0
4.69,0,4.69,RUNNING,0
4.76,0,4.76,RUNNING,0
4.83,0,4.83,RUNNING,0
4.9,0,4.9,RUNNING,0
4.97,0,4.97,RUNNING,0
5.03,0,5.03,RUNNING,0
5.1,0,5.1,RUNNING,0
5.16,0,5.16,RUNNING,0
5.23,0,5.23,RUNNING,0
5.3,0,5.3,RUNNING,0
5.36,0,5.36,RUNNING,0
5.43,0,5.43,RUNNING,0
5.5,0,5.5,RUNNING,0
5.56,0,5.56,RUNNING,0
5.63,0,5.63,RUNNING,0
5.69,0,5.69,RUNNING,0
5.76,0,5.76,RUNNING,0
5.82,0,5.82,RUNNING,0
5.89,0,5.89,RUNNING,0
5.96,0,5.96,RUNNING,0
6.02,0,6.02,RUNNING,0
6.09,0,6.09,RUNNING,0
6.15,0,6.15,RUNNING,0
6.22,0,6.22,RUNNING,0
6.29,0,6.29,RUNNING,0
6.36,0,6.36,RUNNING,0
6.42,0,6.42,RUNNING,0
6.49,0,6.49,RUNNING,0
6.56,0,6.56,RUNNING,0
6.62,0,6.62,RUNNING,0
6.69,0,6.69,RUNNING,0
6.75,0,6.75,RUNNING,0
6.82,0,6.82,RUNNING,0
6.89,0,6.89,RUNNING,0
6.95,0,6.95,RUNNING,0
7.02,0,7.02,RUNNING,0
7.08,0,7.08,RUNNING,0
7.15,0,7.15,RUNNING,0
7.22,0,7.22,RUNNING,0
7.28,0,7.28,RUNNING,0
7.35,0,7.35,RUNNING,0
7.42,0,7.42,RUNNING,0
7.48,0,7.48,RUNNING,0
