ElapsedSec,ALT,Pres
0.0,0.0,0.0
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.0,-29.04,101674.33
0.05,-29.04,101674.33
0.12,-29.04,101674.33
0.19,-29.04,101674.33
0.25,-29.04,101674.33
0.32,-29.04,101674.33
0.38,-29.04,101674.33
0.45,-29.04,101674.33
0.51,-29.04,101674.33
0.58,-29.04,101674.33
0.64,-29.04,101674.33
0.71,-29.04,101674.33
0.78,-29.04,101674.33
0.84,-29.04,101674.33
0.91,-29.04,101674.33
0.97,-29.04,101674.33
1.04,-29.04,101674.33
1.1,-29.04,101674.33
1.17,-29.04,101674.33
1.23,-29.04,101674.33
1.3,-29.04,101674.33
1.37,-29.04,101674.33
1.43,-29.04,101674.33
1.5,-29.04,101674.33
1.56,-29.04,101674.33
1.63,-29.04,101674.33
1.69,-29.04,101674.33
1.76,-29.04,101674.33
1.83,-29.04,101674.33
1.89,-29.04,101674.33
1.96,-29.04,101674.33
2.02,-29.04,101674.33
2.09,-29.04,101674.33
2.16,-29.04,101674.33
2.22,-29.04,101674.33
2.29,-29.04,101674.33
2.35,-29.04,101674.33
2.42,-29.04,101674.33
2.48,-29.04,101674.33
2.55,-29.04,101674.33
2.62,-29.04,101674.33
2.68,-29.04,101674.33
2.75,-29.04,101674.33
2.81,-29.04,101674.33
2.88,-29.04,101674.33
2.94,-29.04,101674.33
3.01,-29.04,101674.33
3.08,-29.04,101674.33
3.14,-29.04,101674.33
3.21,-29.04,101674.33
3.27,-29.04,101674.33
3.34,-29.04,101674.33
3.41,-29.04,101674.33
3.47,-29.04,101674.33
3.54,-29.04,101674.33
3.61,-29.04,101674.33
3.67,-29.04,101674.33
3.74,-29.04,101674.33
3.81,-29.04,101674.33
3.87,-29.04,101674.33
3.94,-29.04,101674.33
4.01,-29.04,101674.33
4.07,-29.04,101674.33
4.16,-29.04,101674.33
4.22,-29.04,101674.33
4.29,-29.04,101674.33
4.36,-29.04,101674.33
4.43,-29.04,101674.33
4.5,-29.04,101674.33
4.56,-29.04,101674.33
4.63,-29.04,101674.33
4.69,-29.04,101674.33
4.76,-29.04,101674.33
4.83,-29.04,101674.33
4.9,-29.04,101674.33
4.97,-29.04,101674.33
5.03,-29.04,101674.33
5.1,-29.04,101674.33
5.16,-29.04,101674.33
5.23,-29.04,101674.33
5.3,-29.04,101674.33
5.36,-29.04,101674.33
5.43,-29.04,101674.33
5.5,-29.04,101674.33
5.56,-29.04,101674.33
5.63,-29.04,101674.33
5.69,-29.04,101674.33
5.76,-29.04,101674.33
5.82,-29.04,101674.33
5.89,-29.04,101674.33
5.96,-29.04,101674.33
6.02,-29.04,101674.33
6.09,-29.04,101674.33
6.15,-29.04,101674.33
6.22,-29.04,101674.33
6.29,-29.04,101674.33
6.36,-29.04,101674.33
6.42,-29.04,101674.33
6.49,-29.04,101674.33
6.56,-29.04,101674.33
6.62,-29.04,101674.33
6.69,-29.04,101674.33
6.75,-29.04,101674.33
6.82,-29.04,101674.33
6.89,-29.04,101674.33
6.95,-29.04,101674.33
7.02,-29.04,101674.33
7.08,-29.04,101674.33
7.15,-29.04,101674.33
7.22,-29.04,101674.33
7.28,-29.04,101674.33
7.35,-29.04,101674.33
7.42,-29.04,101674.33
7.48,-29.04,101674.33
7.55,-29.04,101674.33
7.62,-29.04,101674.33
7.68,-29.04,101674.33
7.75,-29.04,101674.33
7.81,-29.04,101674.33
7.88,-29.04,101674.33
7.95,-29.04,101674.33
8.01,-29.04,101674.33
8.08,-29.04,101674.33
8.15,-29.04,101674.33
8.21,-29.04,101674.33
8.28,-29.04,101674.33
8.34,-29.04,101674.33
8.41,-29.04,101674.33
8.48,-29.04,101674.33
8.55,-29.04,101674.33
8.61,-29.04,101674.33
8.68,-29.04,101674.33
8.75,-29.04,101674.33
8.81,-29.04,101674.33
8.88,-29.04,101674.33
8.95,-29.04,101674.33
9.01,-29.04,101674.33
9.08,-29.04,101674.33
9.15,-29.04,101674.33
9.21,-29.04,101674.33
9.28,-29.04,101674.33
9.35,-29.04,101674.33
9.42,-29.04,101674.33
9.48,-29.04,101674.33
9.55,-29.04,101674.33
9.62,-29.04,101674.33
9.68,-29.04,101674.33
