ElapsedSec,Phase,AnomalyCount,HighlightAnomalyCount,MissingCount
180.06,1,1,1,0
180.13,1,1,1,0
180.19,1,1,1,0
180.26,1,1,1,0
180.33,1,1,1,0
180.4,1,1,1,0
180.46,1,1,1,0
180.53,1,1,1,0
180.6,1,1,1,0
180.66,1,1,1,0
180.73,1,1,1,0
180.79,1,1,1,0
180.86,1,1,1,0
180.93,1,1,1,0
180.99,1,1,1,0
181.06,1,1,1,0
181.13,1,1,1,0
181.19,1,1,1,0
181.26,1,1,1,0
181.32,1,1,1,0
181.39,1,1,1,0
181.46,1,1,1,0
181.52,1,1,1,0
181.59,1,1,1,0
181.65,1,1,1,0
181.72,1,1,1,0
181.79,1,1,1,0
181.85,1,1,1,0
181.92,1,1,1,0
181.98,1,1,1,0
182.05,1,1,1,0
182.12,1,1,1,0
182.18,1,1,1,0
182.25,1,1,1,0
182.32,1,1,1,0
182.38,1,1,1,0
182.45,1,1,1,0
182.52,1,1,1,0
182.58,1,1,1,0
182.65,1,1,1,0
182.71,1,1,1,0
182.78,1,1,1,0
182.85,1,1,1,0
182.91,1,1,1,0
182.98,1,1,1,0
183.05,1,1,1,0
183.11,1,1,1,0
183.18,1,1,1,0
183.24,1,1,1,0
183.31,1,1,1,0
183.38,1,1,1,0
183.44,1,1,1,0
183.51,1,1,1,0
183.58,1,1,1,0
183.64,1,1,1,0
183.71,1,1,1,0
183.78,1,1,1,0
183.84,1,1,1,0
183.91,1,1,1,0
183.98,1,1,1,0
184.04,1,1,1,0
184.11,1,1,1,0
184.18,1,1,1,0
184.24,1,1,1,0
184.31,1,1,1,0
184.37,1,1,1,0
184.44,1,1,1,0
184.51,1,1,1,0
184.57,1,1,1,0
184.64,1,1,1,0
184.71,1,1,1,0
184.77,1,1,1,0
184.84,1,1,1,0
184.91,1,1,1,0
184.97,1,1,1,0
185.04,1,1,1,0
185.11,1,1,1,0
185.17,1,1,1,0
185.24,1,1,1,0
185.3,1,1,1,0
185.37,1,1,1,0
185.44,1,1,1,0
185.5,1,1,1,0
185.57,1,1,1,0
185.64,1,1,1,0
185.7,1,1,1,0
185.77,1,1,1,0
185.84,1,1,1,0
185.9,1,1,1,0
185.97,1,1,1,0
186.04,1,1,1,0
186.1,1,1,1,0
186.17,1,1,1,0
186.24,1,1,1,0
186.3,1,1,1,0
186.37,1,1,1,0
186.44,1,1,1,0
186.5,1,1,1,0
186.57,1,1,1,0
186.64,1,1,1,0
186.7,1,1,1,0
186.78,1,1,1,0
186.84,1,1,1,0
186.91,1,1,1,0
186.98,1,1,1,0
187.04,1,1,1,0
187.11,1,1,1,0
187.17,1,1,1,0
187.24,1,1,1,0
187.31,1,1,1,0
187.37,1,1,1,0
187.44,1,1,1,0
187.5,1,1,1,0
187.57,1,1,1,0
187.64,1,1,1,0
187.7,1,1,1,0
187.77,1,1,1,0
187.84,1,1,1,0
187.9,1,1,1,0
187.97,1,1,1,0
188.03,1,1,1,0
188.1,1,1,1,0
188.17,1,1,1,0
188.23,1,1,1,0
188.3,1,1,1,0
188.37,1,1,1,0
188.43,1,1,1,0
188.5,1,1,1,0
188.56,1,1,1,0
188.63,1,1,1,0
188.7,1,1,1,0
188.76,1,1,1,0
188.83,1,1,1,0
188.9,1,1,1,0
188.96,1,1,1,0
189.03,1,1,1,0
189.09,1,1,1,0
189.16,1,1,1,0
189.23,1,1,1,0
189.3,1,1,1,0
189.37,1,1,1,0
189.43,1,1,1,0
189.5,1,1,1,0
189.57,1,1,1,0
189.63,1,1,1,0
189.7,1,1,1,0
189.76,1,1,1,0
189.83,1,1,1,0
189.9,1,1,1,0
189.96,1,1,1,0
190.03,1,1,1,0
190.09,1,1,1,0
190.16,1,1,1,0
190.23,1,1,1,0
190.29,1,1,1,0
190.36,1,1,1,0
190.42,1,1,1,0
190.49,1,1,1,0
190.56,1,1,1,0
190.62,1,1,1,0
190.69,1,1,1,0
190.76,1,1,1,0
190.82,1,1,1,0
190.89,1,1,1,0
190.96,1,1,1,0
191.02,1,1,1,0
191.09,1,1,1,0
191.15,1,1,1,0
191.22,1,1,1,0
191.29,1,1,1,0
191.35,1,1,1,0
191.42,1,1,1,0
191.49,1,1,1,0
191.55,1,1,1,0
191.62,1,1,1,0
191.69,1,1,1,0
191.75,1,1,1,0
191.82,1,1,1,0
191.88,1,1,1,0
191.95,1,1,1,0
192.02,1,1,1,0
192.08,1,1,1,0
192.15,1,1,1,0
192.22,1,1,1,0
192.28,1,1,1,0
192.35,1,1,1,0
192.41,1,1,1,0
192.48,1,1,1,0
192.55,1,1,1,0
192.61,1,1,1,0
192.68,1,1,1,0
192.75,1,1,1,0
192.81,1,1,1,0
192.88,1,1,1,0
192.95,1,1,1,0
193.01,1,1,1,0
193.08,1,1,1,0
193.15,1,1,1,0
193.21,1,1,1,0
193.28,1,1,1,0
193.35,1,1,1,0
193.41,1,1,1,0
193.48,1,1,1,0
193.55,1,1,1,0
193.61,1,1,1,0
193.68,1,1,1,0
193.75,1,1,1,0
193.81,1,1,1,0
193.88,1,1,1,0
193.95,1,1,1,0
194.01,1,1,1,0
194.08,1,1,1,0
194.15,1,1,1,0
194.21,1,1,1,0
194.28,1,1,1,0
194.35,1,1,1,0
194.41,1,1,1,0
194.48,1,1,1,0
194.55,1,1,1,0
194.61,1,1,1,0
194.68,1,1,1,0
194.75,1,1,1,0
194.81,1,1,1,0
194.88,1,1,1,0
194.95,1,1,1,0
195.01,1,1,1,0
195.08,1,1,1,0
195.15,1,1,1,0
195.21,1,1,1,0
195.28,1,1,1,0
195.35,1,1,1,0
195.41,1,1,1,0
195.48,1,1,1,0
195.55,1,1,1,0
195.62,1,1,1,0
195.68,1,1,1,0
195.75,1,1,1,0
195.82,1,1,1,0
195.89,1,1,1,0
195.95,1,1,1,0
196.02,1,1,1,0
196.09,1,1,1,0
196.15,1,1,1,0
196.22,1,1,1,0
196.28,1,1,1,0
196.35,1,1,1,0
196.42,1,1,1,0
196.48,1,1,1,0
196.55,1,1,1,0
196.61,1,1,1,0
196.68,1,1,1,0
196.75,1,1,1,0
196.81,1,1,1,0
196.88,1,1,1,0
196.95,1,1,1,0
197.01,1,1,1,0
197.08,1,1,1,0
197.14,1,1,1,0
197.21,1,1,1,0
197.28,1,1,1,0
197.34,1,1,1,0
197.41,1,1,1,0
197.48,1,1,1,0
197.54,1,1,1,0
197.61,1,1,1,0
197.67,1,1,1,0
197.74,1,1,1,0
197.81,1,1,1,0
197.87,1,1,1,0
197.94,1,1,1,0
198.01,1,1,1,0
198.07,1,1,1,0
198.14,1,1,1,0
198.2,1,1,1,0
198.27,1,1,1,0
198.34,1,1,1,0
198.4,1,1,1,0
198.47,1,1,1,0
198.54,1,1,1,0
198.6,1,1,1,0
198.67,1,1,1,0
198.74,1,1,1,0
198.8,1,1,1,0
198.87,1,1,1,0
198.94,1,1,1,0
199.0,1,1,1,0
199.07,1,1,1,0
199.14,1,1,1,0
199.2,1,1,1,0
199.27,1,1,1,0
199.34,1,1,1,0
199.4,1,1,1,0
199.47,1,1,1,0
199.53,1,1,1,0
199.6,1,1,1,0
199.67,1,1,1,0
199.73,1,1,1,0
199.8,1,1,1,0
199.87,1,1,1,0
199.93,1,1,1,0
200.0,1,1,1,0
200.07,1,1,1,0
200.13,1,1,1,0
200.2,1,1,1,0
200.27,1,1,1,0
200.33,1,1,1,0
200.4,1,1,1,0
200.47,1,1,1,0
200.53,1,1,1,0
200.6,1,1,1,0
200.67,1,1,1,0
200.73,1,1,1,0
200.8,1,1,1,0
200.87,1,1,1,0
200.93,1,1,1,0
201.0,1,1,1,0
201.07,1,1,1,0
201.13,1,1,1,0
201.2,1,1,1,0
201.27,1,1,1,0
201.34,1,1,1,0
201.4,1,1,1,0
201.47,1,1,1,0
201.54,1,1,1,0
201.6,1,1,1,0
201.67,1,1,1,0
201.74,1,1,1,0
201.8,1,1,1,0
201.87,1,1,1,0
201.94,1,1,1,0
202.0,1,1,1,0
202.07,1,1,1,0
202.14,1,1,1,0
202.2,1,1,1,0
202.27,1,1,1,0
202.35,1,1,1,0
202.41,1,1,1,0
202.48,1,1,1,0
202.55,1,1,1,0
202.61,1,1,1,0
202.68,1,1,1,0
