column,value,count
ConeMethod,,9836
ConeMethod,as_is:hue,2086
ConeMethod,as_is:backproj,762
MotorCmdType,phase3_no_heading_forward,4250
MotorCmdType,phase3_gps_turn,3650
MotorCmdType,stop,2755
MotorCmdType,phase4_search_pivot,1075
MotorCmdType,phase1_parachute_separation,446
MotorCmdType,phase2_fig8,225
MotorCmdType,phase5_approach_forward,115
MotorCmdType,phase2_straight,80
MotorCmdType,phase3_gps_forward,74
MotorCmdType,phase4_camera_pivot_align,14
Phase7ArrivalReason,RUNNING,12679
Phase7ArrivalReason,MISSION_TOTAL_TIMEOUT,5
MissionEndReason,RUNNING,12678
MissionEndReason,MISSION_TOTAL_TIMEOUT,6
