ElapsedSec,AccX,AccY,AccZ
0.0,0.0,0.0,0.0
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.0,-8.84,-0.45,4.15
0.05,-8.84,-0.45,4.15
0.12,-8.84,-0.45,4.15
0.19,-8.84,-0.45,4.15
0.25,-8.84,-0.45,4.15
0.32,-8.84,-0.45,4.15
0.38,-8.84,-0.45,4.15
0.45,-8.84,-0.45,4.15
0.51,-8.84,-0.45,4.15
0.58,-8.84,-0.45,4.15
0.64,-8.84,-0.45,4.15
0.71,-8.84,-0.45,4.15
0.78,-8.84,-0.45,4.15
0.84,-8.84,-0.45,4.15
0.91,-8.84,-0.45,4.15
0.97,-8.84,-0.45,4.15
1.04,-8.84,-0.45,4.15
1.1,-8.84,-0.45,4.15
1.17,-8.84,-0.45,4.15
1.23,-8.84,-0.45,4.15
1.3,-8.84,-0.45,4.15
1.37,-8.84,-0.45,4.15
1.43,-8.84,-0.45,4.15
1.5,-8.84,-0.45,4.15
1.56,-8.84,-0.45,4.15
1.63,-8.84,-0.45,4.15
1.69,-8.84,-0.45,4.15
1.76,-8.84,-0.45,4.15
1.83,-8.84,-0.45,4.15
1.89,-8.84,-0.45,4.15
1.96,-8.84,-0.45,4.15
2.02,-8.84,-0.45,4.15
2.09,-8.84,-0.45,4.15
2.16,-8.84,-0.45,4.15
2.22,-8.84,-0.45,4.15
2.29,-8.84,-0.45,4.15
2.35,-8.84,-0.45,4.15
2.42,-8.84,-0.45,4.15
2.48,-8.84,-0.45,4.15
2.55,-8.84,-0.45,4.15
2.62,-8.84,-0.45,4.15
