ElapsedSec,MotorCmdType,MotorCmdUpdatedElapsedSec,Motor1CmdSpeed,Motor1CmdForward,Motor2CmdSpeed,Motor2CmdForward
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.0,stop,0.0,0.0,1,0.0,1
0.05,stop,0.0,0.0,1,0.0,1
0.12,stop,0.11,0.0,1,0.0,1
0.19,stop,0.11,0.0,1,0.0,1
0.25,stop,0.21,0.0,1,0.0,1
0.32,stop,0.31,0.0,1,0.0,1
0.38,stop,0.31,0.0,1,0.0,1
0.45,stop,0.41,0.0,1,0.0,1
0.51,stop,0.51,0.0,1,0.0,1
0.58,stop,0.51,0.0,1,0.0,1
0.64,stop,0.61,0.0,1,0.0,1
0.71,stop,0.71,0.0,1,0.0,1
0.78,stop,0.71,0.0,1,0.0,1
0.84,stop,0.81,0.0,1,0.0,1
0.91,stop,0.81,0.0,1,0.0,1
0.97,stop,0.91,0.0,1,0.0,1
1.04,stop,1.01,0.0,1,0.0,1
1.1,stop,1.01,0.0,1,0.0,1
1.17,stop,1.11,0.0,1,0.0,1
1.23,stop,1.21,0.0,1,0.0,1
1.3,stop,1.21,0.0,1,0.0,1
1.37,stop,1.31,0.0,1,0.0,1
1.43,stop,1.41,0.0,1,0.0,1
1.5,stop,1.41,0.0,1,0.0,1
1.56,stop,1.51,0.0,1,0.0,1
1.63,stop,1.61,0.0,1,0.0,1
1.69,stop,1.61,0.0,1,0.0,1
1.76,stop,1.71,0.0,1,0.0,1
1.83,stop,1.81,0.0,1,0.0,1
1.89,stop,1.81,0.0,1,0.0,1
1.96,stop,1.91,0.0,1,0.0,1
2.02,stop,2.01,0.0,1,0.0,1
2.09,stop,2.01,0.0,1,0.0,1
2.16,stop,2.11,0.0,1,0.0,1
2.22,stop,2.21,0.0,1,0.0,1
2.29,stop,2.21,0.0,1,0.0,1
2.35,stop,2.31,0.0,1,0.0,1
2.42,stop,2.41,0.0,1,0.0,1
2.48,stop,2.41,0.0,1,0.0,1
2.55,stop,2.51,0.0,1,0.0,1
2.62,stop,2.61,0.0,1,0.0,1
2.68,stop,2.61,0.0,1,0.0,1
2.75,stop,2.71,0.0,1,0.0,1
2.81,stop,2.71,0.0,1,0.0,1
2.88,stop,2.81,0.0,1,0.0,1
2.94,stop,2.91,0.0,1,0.0,1
3.01,stop,2.91,0.0,1,0.0,1
3.08,stop,3.01,0.0,1,0.0,1
3.14,stop,3.12,0.0,1,0.0,1
3.21,stop,3.12,0.0,1,0.0,1
3.27,stop,3.22,0.0,1,0.0,1
3.34,stop,3.32,0.0,1,0.0,1
3.41,stop,3.32,0.0,1,0.0,1
3.47,stop,3.42,0.0,1,0.0,1
3.54,stop,3.52,0.0,1,0.0,1
3.61,stop,3.52,0.0,1,0.0,1
3.67,stop,3.62,0.0,1,0.0,1
3.74,stop,3.72,0.0,1,0.0,1
3.81,stop,3.72,0.0,1,0.0,1
3.87,stop,3.82,0.0,1,0.0,1
3.94,stop,3.92,0.0,1,0.0,1
4.01,stop,3.92,0.0,1,0.0,1
4.07,stop,4.02,0.0,1,0.0,1
4.16,stop,4.12,0.0,1,0.0,1
4.22,stop,4.22,0.0,1,0.0,1
4.29,stop,4.22,0.0,1,0.0,1
4.36,stop,4.32,0.0,1,0.0,1
4.43,stop,4.42,0.0,1,0.0,1
4.5,stop,4.42,0.0,1,0.0,1
4.56,stop,4.52,0.0,1,0.0,1
