,count,unique,top,freq,mean,std,min,25%,50%,75%,max
ElapsedSec,12684.0,,,,421.5631622516557,244.83306615232166,0.0,209.445,420.90999999999997,632.5975000000001,847.89
Phase,12684.0,,,,2.3855250709555347,1.3685621733697644,0.0,1.0,3.0,3.0,7.0
AccX,12684.0,,,,-8.839303058971934,0.0784917746525775,-8.84,-8.84,-8.84,-8.84,0.0
AccY,12684.0,,,,-0.4499645222327343,0.003995622012857451,-0.45,-0.45,-0.45,-0.45,0.0
AccZ,12684.0,,,,4.1496728161463245,0.036848514118574274,0.0,4.15,4.15,4.15,4.15
GyroX,12684.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GyroY,12684.0,,,,0.18998502049826552,0.0016870404054287024,0.0,0.19,0.19,0.19,0.19
GyroZ,12684.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MagX,12684.0,,,,520.8389340901924,4.624976875682641,0.0,520.88,520.88,520.88,520.88
MagY,12684.0,,,,-81.24359429202144,0.7214317523214844,-81.25,-81.25,-81.25,-81.25,0.0
MagZ,12684.0,,,,201.73409413434248,1.7913705357644245,0.0,201.75,201.75,201.75,201.75
LAT,12684.0,,,,30.35310474968464,0.8088491119923306,0.0,30.374622,30.374627,30.374713,30.374768
LNG,12684.0,,,,130.8671617386471,3.4873462911018294,0.0,130.96008,130.96009,130.960097,130.960103
GpsSpeedMps,12684.0,,,,0.10515689057079786,0.12057040304983682,0.0,0.0,0.1,0.19,0.99
GPSFixQual,12684.0,,,,1.9985808893093662,0.053258155515176306,0.0,2.0,2.0,2.0,2.0
GPSSats,12684.0,,,,19.192447177546516,1.0360998183976236,0.0,19.0,19.0,20.0,21.0
GPSHdop,12684.0,,,,0.6380305897193314,0.047332373218103595,0.0,0.6,0.65,0.68,0.72
ALT,12684.0,,,,-29.037710501419106,0.2578508072297341,-29.04,-29.04,-29.04,-29.04,0.0
Pres,12684.0,,,,101666.31404840742,902.7826468678506,0.0,101674.33,101674.33,101674.33,101674.33
Distance,12684.0,,,,33.76876458530432,20.903336081840962,0.0,0.0,46.75,47.21,51.96
Azimuth,12684.0,,,,140.96530747398296,87.01890835565015,0.0,0.0,194.56,195.22,196.44
TargetLat,12684.0,,,,30.374216999999987,1.421141493654593e-14,30.374217,30.374217,30.374217,30.374217,30.374217
TargetLng,12684.0,,,,130.95996800000003,2.842282987309186e-14,130.959968,130.959968,130.959968,130.959968,130.959968
Angle,12684.0,,,,269.91871807000945,2.396840458112757,0.0,269.94,269.94,269.94,269.94
Direction,12684.0,,,,133.7962835067802,164.80565441559318,-400.0,0.0,194.97,195.53,269.94
Fall,12684.0,,,,9.779228949858089,0.08683818507943529,0.0,9.78,9.78,9.78,9.78
ConeDir,12684.0,,,,0.49646720277514983,0.03253343352311832,0.26,0.5,0.5,0.5,0.68
ConeProb,12684.0,,,,0.002345474613686534,0.039350079709958276,0.0,0.0,0.0,0.0,0.7
ConeMethod,2848,2,as_is:hue,2086,,,,,,,
ObstacleDist,12684.0,,,,999.0,0.0,999.0,999.0,999.0,999.0,999.0
AngleValid,12684.0,,,,0.999921160517187,0.008879160028572116,0.0,1.0,1.0,1.0,1.0
BNOStaleSec,12684.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNOAccValid,12684.0,,,,0.999921160517187,0.008879160028572116,0.0,1.0,1.0,1.0,1.0
BNOAccStaleSec,12684.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMPValid,12684.0,,,,0.999921160517187,0.008879160028572116,0.0,1.0,1.0,1.0,1.0
BMPStaleSec,12684.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MotorCmdType,12684,10,phase3_no_heading_forward,4250,,,,,,,
MotorCmdUpdatedElapsedSec,12684.0,,,,421.4562448754336,244.84519267765694,0.0,208.27,420.77,632.4,847.75
Motor1CmdSpeed,12684.0,,,,63.47546199936929,42.81679054821479,0.0,0.0,83.12,100.0,100.0
Motor1CmdForward,12684.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Motor2CmdSpeed,12684.0,,,,65.81537685272785,38.321278173734925,0.0,45.0,71.88,100.0,100.0
Motor2CmdForward,12684.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Phase7ArrivalReason,12684,2,RUNNING,12679,,,,,,,
MissionEndReason,12684,2,RUNNING,12678,,,,,,,
MissionTotalTimeout,12684.0,,,,0.0004730368968779565,0.021745123873045624,0.0,0.0,0.0,0.0,1.0
MissionElapsedSec,12684.0,,,,421.5631622516557,244.83306615232166,0.0,209.445,420.90999999999997,632.5975000000001,847.89
AnomalyCount,12684.0,,,,0.7848470514033428,0.41094460862948834,0.0,1.0,1.0,1.0,1.0
HighlightAnomalyCount,12684.0,,,,0.7848470514033428,0.41094460862948834,0.0,1.0,1.0,1.0,1.0
MissingCount,12684.0,,,,7.883948281299275e-05,0.008879160028572116,0.0,0.0,0.0,0.0,1.0
HasAnomaly,12684,2,True,9955,,,,,,,
HasHighlightAnomaly,12684,2,True,9955,,,,,,,
IsPhase0,12684,2,False,9955,,,,,,,
