ElapsedSec,ConeDir,ConeProb,ConeMethod,ObstacleDist
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.0,0.5,0.0,,999.0
0.05,0.5,0.0,,999.0
0.12,0.5,0.0,,999.0
0.19,0.5,0.0,,999.0
0.25,0.5,0.0,,999.0
0.32,0.5,0.0,,999.0
0.38,0.5,0.0,,999.0
0.45,0.5,0.0,,999.0
0.51,0.5,0.0,,999.0
0.58,0.5,0.0,,999.0
0.64,0.5,0.0,,999.0
0.71,0.5,0.0,,999.0
0.78,0.5,0.0,,999.0
0.84,0.5,0.0,,999.0
0.91,0.5,0.0,,999.0
0.97,0.5,0.0,,999.0
1.04,0.5,0.0,,999.0
1.1,0.5,0.0,,999.0
1.17,0.5,0.0,,999.0
1.23,0.5,0.0,,999.0
1.3,0.5,0.0,,999.0
1.37,0.5,0.0,,999.0
1.43,0.5,0.0,,999.0
1.5,0.5,0.0,,999.0
1.56,0.5,0.0,,999.0
1.63,0.5,0.0,,999.0
1.69,0.5,0.0,,999.0
1.76,0.5,0.0,,999.0
1.83,0.5,0.0,,999.0
1.89,0.5,0.0,,999.0
1.96,0.5,0.0,,999.0
2.02,0.5,0.0,,999.0
2.09,0.5,0.0,,999.0
2.16,0.5,0.0,,999.0
2.22,0.5,0.0,,999.0
2.29,0.5,0.0,,999.0
2.35,0.5,0.0,,999.0
2.42,0.5,0.0,,999.0
