ElapsedSec,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,GpsSpeedMps,GPSFixQual,GPSSats,GPSHdop,ALT,Pres,Distance,Azimuth,TargetLat,TargetLng,Angle,Direction,Fall,ConeDir,ConeProb,ConeMethod,ObstacleDist,AngleValid,BNOStaleSec,BNOAccValid,BNOAccStaleSec,BMPValid,BMPStaleSec,MotorCmdType,MotorCmdUpdatedElapsedSec,Motor1CmdSpeed,Motor1CmdForward,Motor2CmdSpeed,Motor2CmdForward,Phase7ArrivalReason,MissionEndReason,MissionTotalTimeout,MissionElapsedSec
0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.00,0,0,0.00,0.00,0.00,0.00,0.00,30.374217,130.959968,0.00,0.00,0.00,0.50,0.00,,999.00,0,0.00,0,0.00,0,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,0.000000,0.000000,0.00,0,0,0.00,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,0.000000,0.000000,0.00,0,0,0.00,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,0.000000,0.000000,0.00,0,0,0.00,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,0.000000,0.000000,0.00,0,0,0.00,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,0.000000,0.000000,0.00,0,0,0.00,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,0.000000,0.000000,0.00,0,0,0.00,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,0.000000,0.000000,0.00,0,0,0.00,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,0.000000,0.000000,0.00,0,0,0.00,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,30.374768,130.960088,0.00,2,19,0.65,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,30.374768,130.960088,0.00,2,19,0.65,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,30.374768,130.960088,0.00,2,19,0.65,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,30.374768,130.960088,0.00,2,19,0.65,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,30.374768,130.960088,0.00,2,19,0.65,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,30.374768,130.960088,0.00,2,19,0.65,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,30.374768,130.960088,0.00,2,19,0.65,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,30.374768,130.960088,0.00,2,19,0.65,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
0.00,0,-8.84,-0.45,4.15,0.00,0.19,0.00,520.88,-81.25,201.75,30.374768,130.960088,0.00,2,19,0.65,-29.04,101674.33,0.00,0.00,30.374217,130.959968,269.94,0.00,9.78,0.50,0.00,,999.00,1,0.00,1,0.00,1,0.00,stop,0.00,0.00,1,0.00,1,RUNNING,RUNNING,0,0.00
